,result,table,_start,_stop,_time,_measurement,host,stanza,percepita,temperatura,umidita
100,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:57:47.222079+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
101,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:57:52.482473+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
102,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:57:57.752729+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
103,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:58:03.014358+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
104,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:58:08.285552+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
105,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:58:13.545627+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
106,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:58:18.815649+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
107,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:58:24.075805+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
108,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:58:29.346778+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
109,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:58:34.606783+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
110,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:58:39.879223+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
111,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:58:45.139073+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
112,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:58:50.408724+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
113,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:58:55.669321+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
114,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:59:00.940660+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
115,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:59:06.200687+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
116,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:59:11.470394+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
117,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:59:16.731575+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
118,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:59:22.001367+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
119,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:59:27.261921+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
120,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:59:32.533261+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
121,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:59:43.057008+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
122,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:59:48.317023+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
123,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:59:53.586847+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
124,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:59:58.848412+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
125,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:00:04.120225+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
126,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:00:09.380256+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
127,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:00:14.649552+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
128,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:00:19.910562+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
129,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:00:30.434929+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
130,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:00:35.713887+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
131,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:00:40.974177+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
132,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:00:46.243773+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
133,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:00:51.503710+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
134,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:00:56.774271+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
135,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:01:02.036110+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
136,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:01:07.305795+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
137,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:01:12.565850+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
138,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:01:17.835791+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
139,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:01:23.095759+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
140,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 09:01:28.366604+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
