,result,table,_start,_stop,_time,_value,_field,_measurement,host,stanza
117,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:30:15.149106+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
118,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:30:20.409140+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
119,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:30:25.678919+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
120,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:30:30.938931+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
121,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:30:36.210306+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
122,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:30:41.471227+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
123,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:30:46.741191+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
124,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:30:52.001166+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
125,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:30:57.270868+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
126,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:31:02.530774+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
127,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:31:07.801850+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
128,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:31:13.061917+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
129,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:31:18.331518+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
130,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:31:23.591868+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
131,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:31:28.861851+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
132,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:31:34.121892+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
133,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:31:39.392870+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
134,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:31:44.652840+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
135,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:31:49.922482+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
136,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:31:55.182688+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
137,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:32:00.452812+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
138,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:32:05.714321+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
139,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:32:10.985539+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
140,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:32:16.245442+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
141,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:32:21.514870+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
142,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:32:26.775117+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
143,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:32:32.047633+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
144,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:32:37.307964+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
145,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:32:42.580696+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
146,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:32:47.840926+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
147,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:32:53.111134+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
